id,Ref_produit,Marque,Description
9286,JB44-00059A,HPinc,"ADAPTOR-FFGI,0957-2146,BPA-8040WW-1,+16/"
9287,W126879630,Samsung,ASSY CHASSIS FRONT 
9288,1668920,Epson,Cassette Assy
9289,333511-001,HP,HDD 80GB 7200 Rpmsgt
9290,65309576BC02B12     ,ADOBE               ,DIMENSION - PRO FOR TEAMS      
9291,04X6034-RFB,Lenovo,Wifi Adptr
9292,1054495,Epson,"SHAFT,PULLY,DRIVEN"
9293,40X2009,LEXMARK,C77x SVC Springs SWING ARM 
9294,V-6FUTP-005O,proxtend,ProXtend CAT6 F/UTP CCA PVC Ethernet Cable Orang..
9295,2870ZZBGN240ILZZ    ,BITDEFENDER         ,GRAVITYZONEFULL DISK ENCRYPTION
9296,839016-001,HP,Touch Control Cable
9297,018-1735-001,Hewlett Packard Enterprise,CBL ASSY 4 PIN F-F FAN EXT
9298,F.01U.336.983,Bosch,Mounted C.Board Cn-3222
9299,1300291203,Konica Minolta,Gear Sprocket 520/530/R
9300,41301083000,Toshiba,Wh Fan At
9301,W125645488,HP,USB BD
9302,W127212761,IBM,72.8GB 10K SSA Drive
9303,Z1AV_296_FR_CTO,APPLE,CTO/MBP14 M3Pro Space Black/Puce M3 Max CPU14_GPU30_NE16 + 96 Go memory/SSD_8TB/KB_IE/Logic_Pro
9304,G591T,Dell,HDD Caddy
9305,5WS1N43527,LENOVO,Lenovo Premium Care with Courier/Carry-in - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour system with 2 years Courier/CCI) - 2 années (à partir de la date d'achat originale de l'appareil) - Mise à niveau
9306,A000210960,Toshiba,MB-LED FFC Harness
9307,star654ab,STAR MICRONICS EUROP,"Star TSP654II AirPrint, Ethernet, WiFi, 8 pts/mm (203 dpi), massicot, gris imprimante tickets, thermique direct, 8 pts/mm (203 dpi), largeur de médium (max.): 58/80 mm, diamètre de rouleau (max.): 83 mm, vitesse (max.): 300 mm/s, Ethernet, WiFi, massicot, inclus: bloc d'alimentation, cordon secteur (UE, UK), couleur: gris"
9308,4440310101,Konica Minolta,Right Cover  Di30
9309,Z15T_340_FR_CTO,APPLE,"CTO/MacBook Air 13 pouces Gris sidéral/Puce Apple M2 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 512 Go/Clavier Portugais/USB C 35W double/Logic_Pro"
9310,FRU44X4003,Lenovo,2.3Ghz Cpu
9311,65326575BCTBA12     ,ADOBE               ,ACROBAT SIGN SOLUTIONS FOR     
9312,W126537750,Samsung,ASSY CABI 
9313,W128159992,Lenovo,COVER Upper Case ASM_BUL 
9314,THZ914GL,targus,TARGUS Versavu Slim iPad mini 6th Generation
9315,MC922AA-5M/N        ,MCL SAMAR MICRO CABL,C BLE USB 2.0 A M LE           
9316,42634M,Moxa,LCD/PPC MONITOR STAND FOR AFL
9317,Z171_1766_FR_CTO,APPLE,CTO/MacPro Tour/M2 Ultra CPU 24 coeurs GPU 76 coeurs Neural Engine 32 coeurs/128 Go de mémoire unifiée/SSD 4 To/MKNUMTID_US/MT2/CHASSIS_ROUES/Logic_Pro
9318,CB543A,HP,Toner Magenta ColorSphere
9319,46397722,OKIDATA,MC363(OEL) maintenance board PX755E
9320,454446901,Sony,Heat Sink (Hd)
9321,CD3-3927,CANON,SCREW
9322,5S58C06578,Lenovo,TB3 710F Batt Cover WH
9323,W126879778,Samsung,ASSY PCB MAINUH5C
9324,W126857132,Samsung,ASSY COVER P-STAND 
9325,W126604804,HP,TOP COVER CCW W KB RTX BL NORD
9326,W126034663,Asus,T100HA DOCKING FFC 8P 0.5 L161
9327,RMMY2,Dell,SVC PRC SKL-S G3900T 2.6G
9328,W125694904,Lenovo,Upper Case ASM_CH Q 81UE
9329,W126253310,Canon,"SPRING, TENSION"
9330,41X0980,Lexmark,Rollers Mtu Transport
9331,W126260532,Sony,2 years PrimeSupportPro 
9332,H3DP3E,hewlett packard enterprise,EPACK 5YR PCA CTR CDMR 7205 CT
9333,90NB0B31-R7D010,Asus,Bottom Case Sub Assembly
9334,12043120,Toshiba,Capacitor
9335,5CXWR,Dell,ASSY CVR LCD BRS WWAN WINERY13
9336,W126708274,Lenovo,BRACKET Bracket L 82RF SSD 
9337,RF5-2491,CANON,"SHAFT, PAPER FEED"
9338,MACYWM-AB-FI        ,STG                 ,TRELLIX MAC-SERVER EXTEN W7 SUP
9339,407545,Ricoh,Toner Magenta
9340,SLREP,ATEMPO,Basics services server replication option
9341,FRU23K4490,Lenovo,Front Panel
9342,24DT7471-,NEC,TOP COVER ASSY(G) MT1040G
9343,W127120794,Dell,DELL MELLANOX CONNECT X-3 
9344,40X6965,Lexmark,Cover Card Reader - large
9345,W125917908,Winmate,"10.1"" Multi­Touch Chassis "
9346,W126475541,Asus,ROG STRIX Z690-F GAMING WIFI
9347,Z1AS-TC27XX-3713    ,ZEBRA               ,3YR Z1C SELECT TC27XX ADV REPL 
9348,W126255832,Canon,"WARRANTY CARD, D-SLR"
9349,U1-EXTW-DKT-DRO,PFU EXTENSION DE GARANTIE,Ext Warr 1y return to workshop for DC
9350,W125888590,Lenovo,Heatsink C 20VE UMA FCN
9351,A1124718A,Sony,"Mounted C.Board, Vr-314"
9352,HERD1543-B077P4,DLH,BATTERIE LI-ION 14.8V - 5200mAh - 77Wh - VH08 / VH08XL / QK641AA / HSTNN-F10C / HSTNN-I93C / HSTNN-IB2P / HSTNN-LB2P / 632113-151 / 632425-001 / 632427-001 - Pour HP EliteBook 8560w / EliteBook 8570w / EliteBook 8760w / EliteBook 8770w
9353,47.J21VH.028,Acer,NAME PLATE.LOGO.ACER
9354,W125642712,Toshiba,HRNS LGC TNRIC H37
9355,07AA75062,Konica Minolta,Bearing
9356,W126073037,Avigilon,Replace 5-Position Terminal 
9357,6LA58757600,Toshiba,Harness Sheet
9358,F200BI,Godox,Godox F200Bi Lampe LED de studio flexible
9359,A123 TASTATUR/BE,WORTMANN AG,TERRA TYPE COVER PAD 1200 [BE]
9360,BTP-UB-PRT          ,BARTENDER           ,BARTENDER PROFESSIONAL         
9361,9C428AW#ABB         ,hp - poly           ,HP MINI PC CONFERENCE G9 WMTR  
9362,N5K-C5672UP-16G-RF,CISCO,CISCO Nexus 5672 UP 1R U24x10G SFP+24px UP SFP+6x40G QSFP+ REMANUFACTURED
9363,W125736970,Lenovo,Upper Case ASM_HB W 81VT PG
9364,U5X73E,HP,4Y NBD+DMR LaserJet M525
9365,VD9H2,Dell,Hinge RT MET 3330
9366,6LA94625000,Toshiba,Asy Ar Sens Pcb
9367,40X5212,Lexmark,Carrier Flatbed CCD Module
9368,U1RB5PE,hewlett packard enterprise,EPACK 12 PLUS 24X7 CDMR HP1251
9369,0J8FXW,dell,"Battery, 62WHR, 4 Cell, "
9370,JC92-02296E,HPinc,"PBA-MAIN,CLP-325W,SEC,Jupiter5,USB/NW/Wi"
9371,530798-001,HP,DRV  DVD RW DL LS SM PAV
9372,H40S2PE,HEWLETT PACKARD ENTERPRISE,"HPE Pointnext Tech Care Essential Service Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - temps de réponse : 4 h - pour P/N: 730651-AA1, 737650-AA5, 757643-295, 757643-AA5, 787225-375, 787226-375, 81"
9373,2P-N140FGE-EA2,2-Power,14.0 HD+  1600x900 LED Matte
9374,4241120404,Konica Minolta,Pwb-Main D (W/Ic) (Tysk) Mf330
9375,IQA89501G1P5,Intel,QUICKASSIST ADAPTER 8950SCCP
9376,194621-9,Makita,Makita 194621-9 Chargeur voiture DC18SE
9377,40X8210,Lexmark,Ha Media stac
9378,12003155,Toshiba,Idler Gear
9379,W125790281,Lenovo,Lenovo SSD M.2 2242 128GB FRU 
9380,W126216178,Canon,CARD/BATT ASSEMBLY
9381,W126825193,Seagate,Exos X20 18TB HDD SATA 6Gb/s 
9382,L-QVPE-00-BB15AA,cisco,CISCO VPC Enterprise Base 50 Sessions
9383,453439801,Sony,"Cushion (Lower), Lens"
9384,4400809300,Toshiba,Asm Dev Unit L
9385,W126516511,Lenovo,MECH_ASM KB C NOR BKLT(TSG)PT 
9386,MA2-8114,CANON,"COVER,LEFT"
9387,W126272175,Lenovo,Tissot AMD 1.0 Windows FRU 
9388,JC93-00577A,HP,Frame Main-Cover Inner
9389,W126349745,Brodit,ProClip
9390,CET1834,CET,OPC DRUM JAPAN
9391,589152R-001-RFB,Hewlett Packard Enterprise,DL380G7 E5620 6GB
9392,P19355158,HP POLY,Poly+ Partner Onsite Support - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour 22x1080p30/45x720p/90xSD resource licenses) - 1 année - sur site - heures de bureau - temps de réponse : NBD - doit être acheté avec le contrat de service - pou
9393,EDRYFM-AA-JF        ,STG                 ,TRELLIX EP THREAT DEF + RESP BZ
9394,W126221087,Canon,"COVER, FRONT"
9395,W126858149,Samsung,ASSY PCB MAINLH22DBDPS
9396,RS6GA852CSL/EG,Samsung,"Samsung RS6GA852CSL/EG look inox, réservoir d'eau 4,5l"
9397,CW-9060062-WW,corsair,iCUE H150i ELITE LCD Liquid 3x120 - CW-9060062-WW
9398,197023011,Sony,Sub Harness (C To Ta)
9399,W126152476,Hewlett Packard Enterprise,DRV SSD MSA 1.92TB SFF SAS RI
9400,01JL430,lenovo,4YR TECH INSTALL PT 24X7X24
9401,2P-H8YGW,2-Power,14.0 1366x768 HD LED 30 Pin Matte
9402,2P-575480-001,2-Power,4GB DDR3 1333MHz SoDIMM
9403,2P-LP156WH3(TL)(S3),2-Power,15.6 WXGA HD 1366x768 LED Glossy
9404,brd541651,BRODIT, 
9405,Z1A9_332_FR_CTO,APPLE,CTO/MBP14 M3 Silver/Puce Apple M3 CPU8_GPU10_NE16/24Go/SSD 2 To/Clavier Anglais américain/USB C 70W/Logic_Pro
9406,PA03595-K952,Fujitsu,IMG Sensor Assy
9407,AT-X250-28XS-NCES3  ,ALLIED TELESIS      ,NET.COVER ESSENTIAL - 3 YEAR   
9408,HR6L6E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 24x7 - temps de réponse : 4 h - pour P/N: JL666A, JL666AR"
9409,W126539270,Samsung,"ASSY-SOLENOID COIL,DVM S HR"
9410,92G7210-RFB,IBM,32MB ECC SIMM Retail
9411,W125779744,HP,MB UMA Cel N4100 4GB
9412,097-0378-001,Hewlett Packard Enterprise,CONTROLLER W/2GB CACHE IS4100
9413,W125794785,Lenovo,Docking Keyboard SLA GY UKE
9414,WGT-WGCME263,WatchGuard Technologies,WatchGuard Upgrade to Gold Support 3-yrfor Firebox Cloud Medium
9415,2216,OLYMPIA,Olympia Janus noir
9416,W126876507,Samsung,SVC JDM-ETC_ESD FABRIC_FRONT 
9417,YB6-0520,CANON,"CASE, BOTTOM (SL)"
9418,622090              ,ERARD PRO           ,LUX-UP 1600XL - REVERSIBLE     
9419,A1616670A,Sony,"ASSY, BRACKET (B)"
9420,647050-001,HP,MB DC N570 HHDCR Edwd1.1
9421,W125756176,Netgear,Switch M4300-96X Managed L3 
9422,CFQ7TTC0LH3J-000D-1M1M,Microsoft,CSP Dynamics 365 Customer Insights Real-Time Data Events [1M1M] New Commerce
9423,736288-001,HP,Top Cover W Tp Rgp
9424,41X0987,Lexmark,Cover Mpf Pick Roll C
9425,W125722230,Dell,"ASSY LCD, HUD, Non Touch "
9426,Q7551A,HP,Toner Black P3005 M3035
9427,649680-001,Hewlett Packard Enterprise,Board Riser System Pca
9428,45013031,OKIDATA,"Frame-Assy.-FB-Maint-Unit(OEL), MC352"
9429,W126228181,Canon,"GEAR, 19T"
9430,UA0E5E,HP,3y 9x5 HPAC ENTER 100-499
9431,305123201,Sony,"CLIP, PCB"
9432,SA762ZM/A,APPLE,ACE iPhone 12 Mini T3 (5000 appareils et plus) Ami 24M
9433,DN665,Dell,PRC 95W 2.8G 2220 2MB F3
9434,00HT716-RFB,Lenovo,Display
9435,V-ESSENT-0S-SUBMG-SM,VEEAM,Veeam Backup Essentials Enterprise -
9436,NED407SS19K9-1043D,Palit,Palit GeForce RTX 4070 SUPER Dual OC - graphics card - GeForce RTX 4070 Super - 12 GB
9437,D30317,DICOTA,DICOTA Filtre de confidentialité Pour écran 14'' (16:9) Noir 2 vues D30317
9438,FRU12G8067,Lenovo,Channel Ad
9439,W126869575,Samsung,ASSY 
9440,P1117258-033        ,ZEBRA               ,KIT DISPENSER FOR LINERLESS    
9441,2A627930,KYOCERA,CORE 11-25X14
9442,H8RZ0E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 5 années - expédition - 24x7 - temps de réponse : 4 h - volume, Tier 1"
9443,CR359-67010,HP,Mercury Front Beam Bumper Sv
9444,Z19E_481_FR_CTO,APPLE,CTO/iMac 24 pouces Silver/Puce Apple M3 CPU8_GPU10_NE16/24Go/SSD_512GB/MK_TouchID_US_IMAC/MM2_IMAC/No_Software
9445,5887,ibm,IBM EXP24S SFF GEN2 BAY DRAWER
9446,Z1BC_954_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Midnight/Puce Apple M3 avec CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs + 16 Go de mémoire unifiée/mémoire unifiée selectionnée avec le processeur/SSD 256 Go/Clavier Français/USB C 30 W/FinalCut_Pro"
9447,W125630904,Lenovo,Camera WH
9448,100-100000031BOX,AMD,Ryzen 5 3600 with Wrait
9449,2P-609947-01,2-Power,AC Adapter 19V 4.74A 90W includes power cable
9450,5SD0L02320,Lenovo,Liteon CV3 8D256  M.2 2280
9451,185549811,Sony,DC FAN (80 SIROCCO WIDE)
9452,44286725,OKIDATA,"Knob, C130/MC160 dup"
9453,6LA58745100,Toshiba,Drive Unit
9454,CE502-69006-RFB,HP,IFA FORMATTER SERVICE
9455,AM-6971842187393,Amaran,Amaran 150c noir (EU)
9456,W125647192,HP,BEZEL NT MIC
9457,W125632827,Lenovo,Keyboard Merlyn2 KBD JP DFN
9458,41X0905,Lexmark,Bezel Xc8160
9459,FRU41W5148,Lenovo,PLANR MISC
9460,JY53J,Dell,CBL INTFC CMRA FRT REAR 7350
9461,LAG092001,Brother,HANDLE D800
9462,W126245241,Canon,"KEY TOP, STOP"
9463,CABLETAPE2,MicroConnect,"Cable tie, hook and loop"
9464,W126048143,Asus,X411QA-3C Keyboard 
9465,6LJ20802000,Toshiba,Duct Pcb Bridge
9466,CON-PSUP-DCU1550    ,CISCO               ,PRTNR SUP 24X7X4 DCF OF -1550  
9467,753804-002,HP,Gde Install Thunderbolt Add In
9468,NTW:X1423A-R5,Fujitsu,DISK ASSY COMPACT FLASH 1GB
9469,CY2-4266,CANON,CIRCUIT
9470,860275-001,HP,Mainboard
9471,Z19R_146_FR_CTO,APPLE,CTO/iMac 24 pouces Orange/Puce Apple M3 CPU8_GPU10_NE16/24Go/SSD_2TO/MK_TouchID_US_IMAC/MM2_MT2_IMAC/No_Software
9472,5L60J33145-RFB,Lenovo,USB Charging Power Cord Yoga
9473,495934-B21-RFB,Hewlett Packard Enterprise,X5550 2.66 GHz ML370 G6
9474,PA03576-D894,Fujitsu,Guide C B combines
9475,W128159657,Lenovo,COVER UpperCaseASM_KOR C82R1 
9476,W126048775,Asus,X409DA-1KEYBOARD (ITALIAN) 
9477,X25812341,Sony,Power Button
9478,IMP531-1IS,Pelco,"SARIX PRO 3 IND DOME MIC,5MP"
9479,W126326105,CoreParts,Projector Lamp for CHRISTIE
9480,W126854574,Samsung,"CRYSTAL-SMD19.2MHZ,10PPM,7.0PF"
9481,JT26N,Dell,SVC SSDR 128 S2 THM PM800 SMSN
9482,W127165004,Aten,Cable kit: 1x True 4K 1.8M 
9483,W128171217,Samsung,SVC CAM DECO 
9484,CON-PSUP-IXMLPWA9   ,CISCO               ,PRTNR SUP 24X7X4 CISCO         
9485,668850-AR1,HP,KBD-MUS LYNX-ELARA 2.4GHz GRN
9486,Z1GD_513_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 512 Go/Clavier Portugais/USB C 70W/FinalCut_Pro_&_Logic_Pro"
9487,JC90-01399A,HP,Finishersub3Foldexit Slfin701B
9488,43735001,OKIDATA,"Spring-PickUp, MC760/770/780"
9489,GEFRURAD315,HP POLY,Poly Elite with FRU Replace and Destroy - Contrat de maintenance prolongé - remplacement de matériel avancé - 1 année - expédition - temps de réponse : NBD - Custom - pour Poly G7500
9490,4402831960,Toshiba,Lbl Blue 18 8
9491,ESET-C-ENA-MUL-R3-AO,Eset,ESET Nod32 Antivirus Renouvellement 3 ans - 15 postes - Licence nominative
9492,808569-001,HP,WLAn Antenna AiO20 Ent15
9493,655301101,Sony,TR 2SAR533DTL
9494,F.01U.340.427,Bosch,CPU CLOVERTOWN E5335 2G INTEL
9495,CE410A              ,HP INC.             ,TONER CARTRIDGE 305A BLACK     
9496,L20557-001,HP,Hu 14 Fhd Bv Ffhdc Ir Shb
9497,W126066320,CoreParts,Power Adapter for  HP
9498,862-BBOB_41424847.2_5,DELL SERVEUR APOS,CS/CTO ProSupport Mission Critic/INFIDIS
9499,FRU01AV057,Lenovo,Keyboard IT DFN
9500,L05781-001,HP,Speaker Kit L/R Eliteone
9501,W125691025,Lenovo,MECHANICAL Bezel for non-ODD
9502,932448-850,HP,Ac Adptr 90W Pfc Smart
9503,KTD-PE548E-16G      ,KINGSTON            ,16GB DDR5-4800MT/S ECC MODULE  
9504,MSP-EPO-MOCF        ,STG                 ,TRELLIX EPOLICY ORCHESTRATOR MO
9505,CON-PSRT-WAP571ER   ,CISCO               ,PRTNR SS 8X5XNBD WIRELESS-AC/N 
9506,MST-W06-02152,Microsoft,Microsoft Core CAL Single Language License & Software Assurance Open Value No Level 1 Year Acquired Year 3 Charity AP Device CAL
9507,DODE3E-AA-HI        ,STG                 ,TRELLIX DETECTION ON DEMAND    
9508,375863-002-RFB,Hewlett Packard Enterprise,72G 2.5 HARD DRIVE 10K SAS
9509,CAS-7315,LevelOne,Wandmontage-Set Aluminium
9510,R9PH4,Dell,SVC PLN PDC4405 U W8.1H
9511,W126059504,Brady,BMP51/53 Labelmaker Labels 
9512,3NJ94020,Mita,3NJ94020  PARTS DECK DRIVE UNIT SP
9513,02300BK08330        ,zebra               ,RIBBON 2300 WAX 83MM           
9514,W125886242,Lenovo,Fru350mm Red logo LED cable
9515,0721430302,Konica Minolta,Pawl
9516,W126063395,Brady,LaserTab Laser Printable 
9517,ECF-117700,GENERIQUE,"Cordon SVGA eco-  1,8M Cordon écran SVGA multicoax
HD15
 
AWG30
Résolutions max en 4/3 : 1600x1200
"
9518,L30669-FL1,HP,Top Cover W/Kb Cp Bl Pvcy Cs/S
9519,FF6-2289,CANON,"COVER, DEVELOPING CONTAINER"
9520,W126211833,Canon,BASKET
9521,W126945220,Lenovo,MECH_ASM 
9522,A000239000,Toshiba,MTC LCD Cover TEX
9523,P9U24BAE,hewlett packard enterprise,VMW VCLOUD SUITE ADV 5YR-ESTOC
9524,302FZ23090,KYOCERA,GEAR SWEEP Z14S
9525,1136500102,Konica Minolta,Magnet Roller  NLA
9526,W125736888,Lenovo,NB_KYB Taylor KBD DE CHY BL
9527,183209111,Sony,"Cable, Flexible Flat (24 Co"
9528,W125696573,Lenovo,CAMERA CABLE C 81ND
9529,W127069317,HP,RUBBER MIC L
9530,W125772190,HP,2TB M 2 2280 XG5P PCIE NVME GE
9531,A4651232A,Sony,"Mounted C.Board,Main"
9532,KPM61RUG3T84,KIOXIA SSD,"KIOXIA PM6-R Series KPM61RUG3T84 - SSD - 3840 Go - interne - 2.5"" - SAS 24Gb/s"
9533,Z19D_92_FR_CTO,APPLE,CTO/iMac 24 pouces Silver/Puce Apple M3 CPU8_GPU10_NE16/16Go/SSD_512GB/MK_TOUCHID_PAVNUM_GB_IMAC/MM2_MT2_IMAC/No_Software
9534,W126614244,Lenovo,MECH_ASM KBD/C GRE BKLT CHI 
9535,7402004031,Toshiba,Otwas040Skzn3A
9536,NB.14.21KC005GFR/LEN,Lenovo,"Notebook 14"" Lenovo ThinkPad X1 Carbon G12"
9537,44T1497,ibm,IBM MEM 2GB VLP DDR3-1333 RDIMM
9538,CM1-5772,CANON,"COVER UNIT, FRONT, BW/E"
9539,HY711,Dell,TRAY EXTN OUT 1320C
9540,X0-00402000,Toshiba,S/Msr M4X12 Ni
9541,6NG492HA0MR-00-P    ,GIGA-BYTE           ,INTEL BAREBONE G492-HA0-P00 4U 
9542,AT-AR3-UTM-01-3YR   ,ALLIED TELESIS      ,BUNDLED UTM SEC LIC ONAR3050S F
9543,6LE99135000,Toshiba,Bracket Ft Right
9544,AUD006BTLV,Belkin,Belkin Soundform Inspirer On-Ear Kids Headset BT white/lavender
9545,3110ZZBGN240JLZZ    ,BITDEFENDER         ,GRAVITYZONESECURITY FOR        
9546,W125698727,Sony,ARC SUPPORTER R (S)
9547,FM2-7956,CANON,CARTRIDGE DOOR ASSY
9548,W126321419,Ergonomic Solutions,SpacePole Stack with 
9549,MB70289,CANON,"BRACKET, R-C, DOOR PIVOT"
9550,65306235BBT1C12     ,ADOBE               ,ACROBAT SIGN SOLUTIONS FOR     
9551,00GW799,lenovo,3 YEAR ONSITE REPAIR 24X7
9552,3051ZZBGR360DLZZ    ,BITDEFENDER         ,GRAVITYZONE ULTRA 90 DAYS DATA 
9553,W126852751,Samsung,"TR-DIGITALKRC104S-I,NPN,200MW,"
9554,W125643374,Toshiba,ACTUATOR PICKUP
9555,626109-001,HPinc,SPS-LCD BACKCOVER 15.6 CHP              
9556,TU2-ET100           ,trendnet            ,ADAPTATR USB 2.0 VERS ETHERNET 
9557,W126197336,Lenovo,Lynx-1 (20W8/20W9) FRU Planar 
9558,12G3643,LEXMARK,T62x SVC Memory KOR 16MB K 
9559,24P3742,ibm,IBM 73GB 15K FC HDD
9560,L16698-DH1,HP,Top Cover Nop W Kb Snw Nordic
9561,YN5-0105,CANON,"PLATE, SUPER IMPOSE INDICATION"
9562,MNT-TC8X-FHKT-01    ,ZEBRA               ,TC8X NON PWR STD DUTY FORKLIFT 
9563,FRU00FL456,Lenovo,3.1Ghz Cpu
9564,W126098174,Lenovo,Upper Case ASM_FRA H 82KM GY
9565,W126064039,Brady,Thermal Transfer Printable 
9566,CON-PSUE-CA00LXL8   ,CISCO               ,PRTNR SUP 8X5X4 CATALYST 9300L 
9567,12024017,Toshiba,Resistor
9568,W127017123,Acer,ANTENNA.WLAN.AUX.FOR.ATHENA.SK
9569,4400881440,Toshiba,Plate Earth F
9570,FS9-0214,CANON,"LABEL, CLEANING"
9571,01ET662,lenovo,1 YEAR PW ONS 24X7 6H CS+HDDR
9572,Z1G5_157_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 2 To/Clavier Français/USB C 35W double/FinalCut_Pro_&_Logic_Pro"
9573,GH98-32761B,Samsung,Case Rear Assembly
9574,FRU04X0734,Lenovo,Planar
9575,2P-HSTNN-XB52,2-Power,Main Battery Pack 10.8V 5200mAh
9576,JL228A,Hewlett Packard Enterprise,AL GEN3 Rack Mount Kit
9577,435740-001-RFB,Hewlett Packard Enterprise,220v POWER SUPPLY
9578,3116MXBSN360QLZZ    ,BITDEFENDER         ,BITDEFENDER XDR SENSOR FOR MDR 
9579,U4HE5PE,hewlett packard enterprise,EPACK 12 PLUS 4H EXCH VPNFWAPL
9580,Z590 AORUS PRO AX,Gigabyte Technology,Gigabyte Z590 AORUS PRO AX 1.0 Intel LGA 1200
9581,3B816960,KYOCERA,"SPRING,HOOK RELEASE"
9582,25209360,Lenovo,Keyboard (BULGARIAN)
9583,3HL08010,KYOCERA,GUIDE CONVEYING
9584,49 11 A4,KNIPEX,KNIPEX Pince de précision pour circlips
9585,789124-001,Hewlett Packard Enterprise,PCA I/O: SE2160W (2P-DDR3-16
9586,818204-B21,Hewlett Packard Enterprise,DL360 Gen9 E5-2698v4 Kit
9587,25214732-RFB,Lenovo,G50 30 Keyboard ES
9588,6LE29429000,Toshiba,Harness Usb 380
9589,FRU42X4886,Lenovo,Base Cover
9590,W126225822,Canon,"SLEEVE ASSEMBLY, REAR"
9591,W126242466,Canon,"PLATE, GYRO"
9592,457619302,Sony,CHASSIS FRONT
9593,DY5-1006,CANON,LAMP BALLAST ASS`Y
9594,Z1AJ_1271_FR_CTO,APPLE,CTO/MBP16 M3Pro Silver/Puce M3 Max CPU14_GPU30_NE16 + 96 Go memory/SSD_512GB/KB_NL/Logic_Pro
9595,RP000124969,Hewlett Packard Enterprise,Controller - Smart Array
9596,P7J4Y,Dell,ASSY SPKR 2W L E5270
9597,W126250951,Canon,"FLAG, DUPLEXING JAM DETECT"
9598,W128171697,Acer,Countersunk socket hexagon 
9599,W126253550,Canon,"SPRING, TORSION"
9600,Z1GD_196_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Gris sidéral/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/16 Go  mémoire unifiée/SSD 1 To/Clavier Allemand/USB C 35W double/No_Software"
9601,W126272455,Lenovo,"FR ASM KYB BEL CcCP,NW Transim"
9602,W125680689,Lenovo,Upper Case ASM_GR L81WA NFPBKD
9603,W126869724,Samsung,ASSY PANEL 
9604,F.01U.302.350,Bosch,SPP MIC7000 IR POD BLACK
9605,09N3352-RFB,IBM,128MB DIMM Module
9606,412788-001-RFB,HP,Top cover
9607,W126570057,Avigilon,Driver SUP: Milestone VMS (36 
9608,W126212844,Canon,"BOX, DISPLAY, US/CA"
9609,52838,katun,Katun Magenta Toner Cartridge TK-8515M
9610,4400962770,Toshiba,K Sram T177E
9611,W126853514,Samsung,IC-POWER 
9612,cl3610blutr,"CIPHERLAB CO., LTD.",CipherLab Bluetooth Transponder 3610 Bluetooth Transponder
9613,1144456401,Konica Minolta,Cam
9614,HD2AP-15M-HDMI-CABLE,STARTECH,"StarTech.com 15m Active HDMI 2.0 Cable, CMP, Plenum Rated, 4K 60Hz - High Speed - câble HDMI - HDMI mâle pour HDMI mâle - 15 m - blindé - noir - actif, Unidirectionnel, support pour 4K60Hz, prise en charge de HDR10"
9615,4407853400,Toshiba,Rack Bypass
9616,453759501,Sony,"Base Plate, Tripod"
9617,W126248676,Canon,"SCREW, SELF LOCK"
9618,76N-02345?SCST,MICROSOFT,Microsoft SharePoint Server Enterprise CAL - Licence et assurance logiciel - 1 licence d'accès client périphérique - Enterprise - Win - Toutes les langues
9619,C0-02365000,Toshiba,Hd74Hc08Fp
9620,RAP-SB-187-GA5,RAM Mounts,RAM EZ-STRAP SYST GARMIN ETREX
9621,FM1-U793-000,Canon,FM1-U793-000 MAIN CONTROLLER PCB AS
9622,W126533252,Samsung,"ASSY DOOR FOAM REF,HM10-U "
9623,4444-RFB,IBM,memory
9624,L36909-001,HP,Type C Support Bracket
9625,407603,Accantum,Accantum Professional Server DE/EN inkl. 3 Volluse
9626,STLC18000402,Seagate,Seagate OneTouch            18TB Desktop Hub USB 3.0 STLC18000402
9627,576003-001,HP,CAMERA  CMOS 0.3M VGA
9628,26R7849-RFB,IBM,TP T43P FAN LONG
9629,DV-8305C,Kyocera,Developer Cyan
9630,40K1179-RFB,IBM,3.5IN SCSILC320 146GB 10K HDD
9631,W126073076,Avigilon,Allegion 8580
9632,W127165063,INNES,Pack Screen Composer avec 20 
9633,1649063,Epson,Mc-7300
9634,W127043162,Lenovo,CABLE Cable SMcard FFC
9635,JC66-03016A,HP,Gear Feed
