part,fournisseur,description,marque,prix,quantity
19791-016-55,Difox,"K&M 19791 Support universel de tablette, noir",könig & meyer,35.75,30
5PS0L20568,macle,LENOVO ePAC 5JAHRE ON-SITE NBD,lenovo,48.0,50
MC-DAC-04,EET,Digital to Analog Audio,microconnect,20.1,13
GSM4212UX-100EUS,Also,NETGEAR 12-Port AV Line M4250-10G2XF-PoE++ 8x1G Utra90 PoE++ 802.3bt 720W 2x1G 2xSFP+ Managed Switch,netgear,1183.92,4
FSP:G-SW3LF63PRV0H,macle,SP 3Y TS SUBundUPGR 24X7 4H RT,fujitsu,8907.0,50
HV6R8E,techdata,"HPE Pointnext Tech Care Critical Service with Defective Media Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: 878972R-B21, P19559-291, P19560-291, P19560R-B21,",hewlett packard enterprise,3357.0,9876
BX80684I58500,macle,INTEL CORE i5 8500 3GHz 6C 9MB,intel,329.0,50
PAX080-MH-02        ,Ingram,PAX Q80 MULTIGRIP (WITH HANDLE),ergonomic solutions ,16.86,3
SU781A,West Cost,HP TONER N 1.5K MLT-D1082S,office printing solutions,56.0,74
45396302,Supplies24,ORIGINAL OKI Toner Magenta 45396302 45396302 ~6000 Seiten,45396302,132.25,1
RZ09-0421EFD3-R3F1,ecp,Systemes/Notebook - Gamer - Station/Gamer - Station 15-16p,razer,2259.9,1
1241C002,Kosatec,TON Canon Toner 045 1241C002 Cyan bis zu 1.300 Seiten,canon,41.01,8
H8UF3E,techdata,HPE Foundation Care Software Support 24x7 - Support technique - pour Aruba Mobility Master Virtual Appliance - 5 000 périphériques - académique - ESD - pour les particuliers - support téléphonique - 3 années - 24x7 - temps de réponse : 2 h,hewlett packard enterprise,6633.0,9876
5PXEBM72RT2UG2      ,Ingram,5PX EBM 72V RT2U               ,eaton               ,771.58,9
CL25-550BL1,Siewert & Kau,Neomounts CL25-550BL1 mounting kit - for projector - black,,0.0,1
113R00720,West Cost,XEROX TONER M 2K,xerox supplies,130.0,7
CFQ7TTC0GZ16:0001:COM:P1Y:A:DE,Tarox,Teams Rooms Premium without Audio Conferencing,microsoft csp,0.0,50
H1FF3E,macle,EPACK 5YR FC NBD CDMR MSR954,hewlett packard enterprise,625.0,50
U1PS2E,macle,EPACK 2YR PICKUP RETURN NB SVC,hp inc.,48.0,50
21KH001XFR,techdata,"Lenovo ThinkBook 16 G6 IRL 21KH - Conception de charnière à 180 degrés - Intel Core i5 - 1335U / jusqu'à 4.6 GHz - Win 11 Pro - Carte graphique Intel Iris Xe - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 - Ethernet, Fast Ethernet, Gigabit Ethernet, ",lenovo,1018.0,355
24572702,Secomp,"RatiopacPRO , Equerre avec poignée, 4U 24572702",schroff,22.66,3
M3J-00104,terra computer,MS SPLA System Center Endpoint Protection [M],microsoft,0.77,100
39M6803,macle,IBM Fan 60mm,ibm,49.0,4
222-00020,PICATA,Bluetooth Ergonomic Mouse Glacier,microsoft,36.42,2
VR858,EET,"ASSY,CARR,HD,2.5,SC",dell,34.8,18
1746-C4A,macle,IBM SYSTEM STORAGE DS3524 EXPRESS,ibm,150.0,4
DA-70853,Siewert & Kau,DIGITUS - external video adapter - black,digitus,6.35,500
CBI3343A,psaparts,5, ,2.0,35
EDA52-CB-3,Jarltech,"Honeywell charging station, 4 slots",honeywell,222.64,6
CO230012ZZNCAA,Tarox,XGS 2300 Central Orchestration 12M,sophos,0.0,50
62148,Tarox,LANCOM 1800VA(EU) SD-WAN Gateway VDSL2/ADSL2+,lancom,0.0,6
H3AU2E,macle,EPACK 5YR PCA NBD 7010 CTR,hewlett packard enterprise,18718.0,50
H8RZ6E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers",hewlett packard enterprise,17.0,9876
4780933,MGF,HERCULES Audio Controller STREAM 100 - Pilotage simple et intuitif du son des je,hercules,103.25,138
DGS-1008P,techdata,D-Link DGS 1008P - Commutateur - non géré - 4 x 10/100/1000 (PoE) + 4 x 10/100/1000 - de bureau - PoE,d-link,83.93,151
ASX8200PNP-512GT-C,ecp,Multimedia/08- Disque SSD Gamer/M.2/M.2 - PCIe,adata,34.9,1
CH-9226765-FR,Acadia,K55 RGB PRO RUBBERDOME,corsair,50.4,69
K2Q36A,macle,3PAR STRSRV 8200 2N FLD INT BS,hewlett packard enterprise,5676.0,2
910-006760,Secomp,LOGITECH SOURIS M110 SILENT USB-A GRIS INTERMEDIAIRE,logitech,11.94,18
H6Y84AA#ABB,EET,90W Slim Combo w/USB Adapter,hp,77.7,20
2P-L81871-001,psaparts,45, ,2.0,44
774169-001,macle,HPE 4GB DDR4-2133 SINGLE RANK,hewlett packard enterprise,49.0,20
HP3Z5E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 5 années - expédition - 9x5 - temps de réponse : NBD - volume, Tier 1 - pour P/N: JL356-61001, JL356A#AC4, JL356A#ACD, JL356A#AKM, JL356A#B2C, JL356A",hewlett packard enterprise,509.0,9876
USW-48,convena,Ubiquiti UniFi Switch 48 port ,ubiquiti,348.63,4
U3TF8E,macle,EPACK 1YR NBD MSM313 ACCS POIN,hewlett packard enterprise,48.0,50
5WS1L39561,techdata,Lenovo Premier Support Plus Upgrade - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour système avec 1 an de garantie sur site) - 3 années (à partir de la date d'achat originale de l'appareil) - sur site - temps de réponse : NBD - pour Think,lenovo,180.0,9876
LIC-MS250-48LP-7YR,Also,CISCO Meraki MS250-48LP Enterprise License and Support 7 Year,cisco,2157.12,100
110C0Y3NL0,Copaco,ECOSYS PA4500x laserprinter,kyocera,404.32,1
B660M DS3H DDR4,ecp,Integration/3- Cartes mères/INTEL LGA 1700/Intel LGA 1700 - MATX,gigabyte,84.9,1
LC421XLVAL,Siewert & Kau,"Brother LC421XL - 4-pack - XL - black, yellow, cyan, magenta - original - ink cartridge",brother,48.53,40
"442607,100",Secomp,Cordon saCon Cat.6 S/FTP 1m turquoise,sacon,4.7,6
HS8M1E,techdata,"HPE Pointnext Tech Care Basic Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : NBD - pour P/N: P21271R-B21, P40455-AA1, P40455-B21, P40456-",hewlett packard enterprise,2850.0,9876
P2V68A,Octant,HP Cartouche Encre 730 Cyan 300ml,hpp2v68a,123.67,4
LC225XLM,MGF,BROTHER cart JE magent J5620DW,brother,13.58,14
5PS7A01573,Also,LENOVO Essential Service - 2Yr Post Wty 24x7 24Hr Committed Svc Repair + YourDrive YourData,lenovo,2753.78,100
78-81238            ,Ingram,OB REACT + GLASS APPLE IPHONE  ,otterbox            ,15.58,3
06014A3100,Difox,Bosch GPB 18V-2 SC Professional Radio de chantier sans fil,bosch,130.5,1
MB882HX-1SB,ecp,Integration/2- Boitier/7- MOBIL RACK,icydock,9.52,1
KF436C18BB2AK2/32,Siewert & Kau,Kingston RAM FURY Beast RGB - 32 GB (2 x 16 GB Kit) - DDR4 3600 DIMM CL18,kingston,82.96,6
MDP2VGDVHD,techdata,"StarTech.com Adaptateur Mini DisplayPort 3 en 1 - 1080p - Répartiteur Mini DP / Thunderbolt vers HDMI / VGA / DVI pour Votre Moniteur (MDP2VGDVHD) - Adaptateur vidéo - Mini DisplayPort mâle pour HD-15 (VGA), DVI-D, HDMI femelle - 27 cm - noir - actif, sup",startech,38.99,8
P-PFRURAD350,Also,HP Poly 1yr+ Enterprise Government with FRU replace and destroy service for NEW Poly Video devices Catgeory A: Poly Studio R30/Studi,hp inc.,58.3,100
EF-NX712PBEGWW,Also,SAMSUNG Galaxy Tab S9 Film de protection anti-espion Noir,samsung,28.82,100
N6PAT150CMGRS,techdata,Ce câble CAT6 fin répond à toutes les spécifications de câble patch de catégorie 6 et fournit une connexion réseau Gigabit fiable dans les centres de données haute densité.Passage facile des câblesLa conception de ce câble de connexion CAT6 fin est 36 % p,startech,4.99,40
406402-001,macle,HPE POWER SUPPLY 200W HOTPLUG,hewlett packard enterprise,99.0,43
P08437-B21,Travion,Ethernet 10Gb 2-port BASE-T QL41132HLRJ Internal 10000 Mbit/s,hewlett packard enterprise,1.0,1
UMA-D,convena,Ubiquiti High Efficiency Dual-Band Directional Mes,ubiquiti,78.31,8
MBXUN-90W-DC0001,EET,Universal Car Adapter,coreparts,27.0,75
KCP432SS8/16,Siewert & Kau,Kingston RAM - 16 GB - DDR4 3200 SO-DIMM CL22,kingston,35.14,16
90NX05H1-M006H0,Acadia,ASUS ExpertBook B5602CBA-MB0160X,asus,1118.0,6
HU4W4E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 4 années - expédition - 9x5 - temps de réponse : NBD - universitaire, volume, Tier 2, pour les particuliers - pour P/N: R4W40A, R4W41A, R4W42A, R4W43",hewlett packard enterprise,129.0,9876
MC923-1C/AM/A-5M    ,Ingram,CABLE ACTIF USB-C M            ,mcl samar micro cabl,16.33,6
SRT72BP             ,Ingram,BATTERY PACK FOR SRT 72V 2.2KVA,apc                 ,816.21,2
U3LP9E,macle,EPACK 3YR NBD EXCH MSR2003 ROU,hewlett packard enterprise,222.0,50
H1KC9E,techdata,HPE Foundation Care Next Business Day Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 9x5 - temps de réponse : NBD,hewlett packard enterprise,716.0,9876
NS136Z48ZZNCAA,Tarox,XGS 136 Network Protection 48M,sophos,0.0,50
QP420/50,Difox,Philips QP 420/50,philips,19.1,10
U3XV9E,macle,EPACK 5YR NBD 14XX SWITCH FC,hewlett packard enterprise,62.0,50
DG7GMGF0G49X:0001:COM:DE,Tarox,Microsoft CSP BizTalk Server 2020 Enterprise,microsoft csp,0.0,50
05004283001,Difox,Wera 8009 Zyklop Pocket Imperial kit 2,wera,63.81,40
SR0LA,macle,INTEL CPU XEON E5-2609 2.40GHz 4C 10MB,intel,19.0,8
P2V84A,techdata,"HP 747 - 300 ml - vert chromatique - original - DesignJet - cartouche d'encre - pour DesignJet Z9+ PostScript, Z9+dr PostScript",hp,185.72,9
06016B0002,Difox,Bosch GKF 12V-8 Affleureuse sans fil,bosch,134.8,10
90PF03K1-M00FD0,techdata,"ASUS ExpertCenter D7 D700SD_CZ 712700084X - SFF - Core i7 12700 / jusqu'à 4.9 GHz - RAM 16 Go - SSD 512 Go - NVMe - UHD Graphics 770 - Gigabit Ethernet, Bluetooth 5.3, IEEE 802.11ax (Wi-Fi 6) - 802.11a/b/g/n/ac/ax, Bluetooth 5.3 - Win 11 Pro - moniteur : ",asus,940.83,97
ALTGELI7BLK,MCA,coque noire iphone 7 8 SE,oem,2.0,268
ST1000SPEX43,Siewert & Kau,StarTech.com Network Adapter ST1000SPEX43 - PCIe,startech,140.14,29
ST4000NE001,ecp,Integration/6- Stockage/2- DISQUE DUR/Disque 3.5p,seagate,99.99,1
7090043790115,techdata,Huddly IQ - Travel Kit - caméra pour conférence - couleur - 12 MP - audio - USB 3.0 - MJPEG - avec câble USB 3.0 vers USB-C 0.6 m,huddly,625.18,12
5WS7B06212,Also,LENOVO Foundation Service - 4Yr NBD Resp ST50 V2,lenovo,114.91,100
21.15.3950,Secomp,"Cordon ROLINE Data Center SLIM, UTP Cat6A/Cl.EA, LSOH, noir, 0,15m",roline,0.85,3206
EX-46014,Secomp,EX-46014 4S série RS-232,exsys,31.25,2
FAN12025PWM,techdata,StarTech.com Ventilateur d'Ordinateur 120 mm avec PMW - Connecteur à Modulation d'Impulsion en Durée - 1x Molex Fan Femelle - Ventilateur châssis - 120 mm - noir,startech,10.99,11
126K18319,EET,Fuser Assy 220V,xerox,563.1,3
5P1150IRG2,Tarox,EATON USV LIN  1150VA 5P 5P1150iRG2,eaton power quality,0.0,10
MO-PAN-SFP-SX,EET,"SFP 850nm, MMF, 550m, LC",microoptics,17.4,7
C-EIS-A2-L1,Also,ESET Internet Security New 1 year 2p Registration key,eset,27.01,100
K9JTG               ,Ingram,LATITUDE 7000 7440 I5-1345U    ,dell emc            ,1039.69,3
MW5L5_3OS5PSP,Siewert & Kau,Dell Upgrade from 3Y Basic Onsite to 5Y ProSupport Plus - extended service agreement - 5 years - on-site,dell,551.25,49
3E5F8AA,techdata,"HP Renew Business - Sac à bandoulière pour ordinateur portable - 15.6"" - pour Elite Mobile Thin Client mt645 G7, Pro x360, ZBook Fury 16 G10",hp,37.0,995
78C20K0,Topus,734646650229,lexmark supplies,71.0,47
02DM013,EET,Intel Thermal Module FL590 ,lenovo,48.3,5
919.1000,Secomp,BACHMANN Pont de sortie noir RAL9005 Passe-câbles noir,bachmann,17.02,4
00WE756,macle,LENOVO SAS-CABLE EXTERN,lenovo,95.0,3
NLWH-15M-CAT8-PATCH,techdata,"StarTech.com 15m White CAT8 Ethernet Cable, Snagless, S/FTP, 25G/40G - Cordon de raccordement - RJ-45 (M) pour RJ-45 (M) - 15 m - 5.6 mm - S/FTP - CAT 5/5e/6/6a/8 - IEEE 802.3bt/IEEE 802.3ba - sans halogène, sans crochet - blanc",startech,94.99,18
TIPRBGMSTAPP/EU/1,Also,Bundle LOGITECH Rally Bar - GRAPHITE - USB - PLUGC - EMEA - EU/SEA/INDO/KO + TAP Cat5e Kit - excluding PC + JumpStart - N/A - WW,logitech,3512.9,2
I90054-0            ,Ingram,TMX 1310/GP02 BOX OF 10ROLLS   ,honeywell           ,30.86,24
WD30EFZX,ecp,Integration/6- Stockage/2- DISQUE DUR/Disque 3.5p,western digital,79.49,1
UK709PE,techdata,"Electronic HP Care Pack Pick-Up and Return Service Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour garantie 1/1/0) (pour CPU) - 1 année - enlèvement et retour - 9x5 - pour HP 470 G10, Pro Mobile Thin Client mt440 G3, Pro x3",hp,27.0,9876
LC421XLVAL,ecp,"Consommables/Cartouches, Toner, Encre/Jet d encre/Brother",brother,49.5,1
738367-001,macle,HPE RAID CONTROLLER SAS FOR MSA 2040,hewlett packard enterprise,375.0,2
VN7M7_2CR4PS        ,Ingram,2Y COLL RTN TO 4Y PROSPT       ,dell emc            ,98.42,9999
21.15.1327,Secomp,"Cordon ROLINE S/FTP(PiMF) Cat6/Cl. E, orange, 0,5m",roline,2.1,588
DN-97601-2,Siewert & Kau,DIGITUS Professional DN-97601-2 - rack cable management panel - 1U - 19,digitus,5.85,266
HZ0J6E,techdata,"HPE Pointnext Tech Care Essential Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: R6W30A, R6W30AR",hewlett packard enterprise,14072.0,9876
MCB-E300L-KN5N-B02,PICATA,MasterBox E300L MCB-E300L-KN5N-B02 - mT/mATX,cooler master,41.36,5
MB482SP-3B,ecp,Integration/2- Boitier/7- MOBIL RACK,icydock,13.83,1
H8SD5E,techdata,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers",hewlett packard enterprise,117.0,9876
V-450,ecp,Integration/1- ALIMENTATION/1- ATX/250W A 550W,hkc,26.9,1
CFQ7TTC0HD32-0011-1J1J,terra computer,CSP Visio Plan 2 (Non-Profit Pricing) [1J1J] New Commerce,microsoft,62.35,100
MS3320W-BLK,MCA,Dell MS3320W - Souris sans fil mobile - noir - Optique - Bluetooth 2.4 GHz - 3 Boutons 1600 dpi - Pile AA,dell,18.19,11
2P-F9M23AV,psaparts,31, ,2.0,29
U6TV8PE,macle,EPACK 1YR REN FC CTR 3810M 40G,hewlett packard enterprise,2699.0,10
H38M9PE,techdata,"HPE Pointnext Tech Care Essential Service with Comprehensive Defective Material Retention Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - temps de réponse : 4 h - pour P/N: 470065-085, 470065-104, 47",hewlett packard enterprise,2054.0,9876
1T02KVCNL0,Kosatec,TON Kyocera Toner TK-590C Cyan bis zu 5.000 Seiten gem. ISO/IEC 19798,kyocera,60.88,14
BRS36BAT00001,Jarltech,CipherLab Spare Battery,"cipherlab co., ltd.",82.48,45
B-02-60700,convena,Garbot CAT6 S/FTP CU LSZH Ethernet Cable Grey 7m,garbot,2.59,100
ACVH250,argor trading,Konica Minolta TN-227 Y,konica minolta tn-227 y,65.65,30
6FUTP-07W,convena,ProXtend CAT6 F/UTP CU LSZH Ethernet Cable White..,proxtend,3.66,100
01HA008,macle,3Y TECH INST 24X7X4,lenovo,534.0,50
78-80445,Travion,MagSafe Vent Mount Black,otterbox,8.0,8
ASSO-B-EPC-R2-AB,Also,ESET Association Protect Complete Renew 2 years 11-25p,eset,45.05,100
RPI4 PSU UK BLACK,EET,Raspberry Pi 5.1V dc ,raspberry pi,8.6,166
CP03RTBSH335,macle,COVERPLUS 3YRS F/EB-W8D,epson,56.0,50
P04220-B21,macle,HPE MICROCHIP SMARTRAID SR932i-p,hewlett packard enterprise,2100.0,6
ACCESSORY-ZZ0102F,MCA,Boîtier extérieur pour Point Accès Zyxel.,zyxel,46.9,3
H3AT1E,macle,EPACK 4YR PCA CTR 7010 CTR,hewlett packard enterprise,18174.0,50
CDP2VGAMM2MB,ecp,Connectiques/Câble USB/Adaptateur USB,startech,30.0,1
XS508M-100EUS,Also,"NETGEAR 10GB Switch XS508M-100EUS 8 Port 10GB/s, unmanaged 1x SFP+",netgear,357.05,3
191H00-0,Difox,"Makita 191H00-0 ChaÃ®ne de sciage 25cm 1,1mm 3/8  HM",makita,11.38,1
3311041,Travion,Accessory FloorStand for MeetingBoard 65 with Tray,yealink,1.0,1
DG.E3UEF.00C,techdata,"Acer Nitro 50 N50-656 - Tour - Core i7 i7-14700F / jusqu'à 5.4 GHz - RAM 32 Go - SSD 1.024 To - NVMe - GeForce RTX 4060 - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6E) - Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E) - Win 11 Home - moniteur : aucun",acer,1166.0,24
P21649-B21,macle,HPE PLATINUM POWER SUPPLY 290W,hewlett packard enterprise,195.0,2
15059,Difox,1 Braun Paximat magazine 36 blanc,braun phototechnik,8.26,10
R9D16A,techdata,"HPE Networking Instant On - Module transmetteur SFP (mini-GBIC) - 1GbE - 1000Base-SX - LC multi-mode - jusqu'à 500 m - pour Instant On 1430 16, 1430 24, 1430 26, 1430 5G, 1430 8G, 1830 24, 1830 48, 1830 8G, 1930 48",aruba,47.0,122
C6657A,Octant,"HP Cartouche Encre 57 Cyan, Jaune, Magenta 400 pages",hpc6657a,52.59,1
35.8000.01,Difox,TFA 35.8000.01 VIEW METEO Station mÃ©tÃ©o radio-pilotÃ©e WiFi,tfa-dostmann,58.58,10
PRTBTN243YG,Supplies24,ORIGINAL Prindo Toner Jaune PRTBTN243YG Green ~1000 Seiten,prtbtn243yg,34.47,1
24BK450H-B,Kosatec,"61cm/24"""" (1920x1080) LG 24BK450H Full HD IPS 5ms HDMI VGA 16:9 black",lg,81.09,43
PRIBLC3219XLYG,Supplies24,ORIGINAL Prindo Cartouche d'encre Jaune PRIBLC3219XLYG Green ~1500 Seiten,priblc3219xlyg,11.03,1
GSM4248UX-100EUS,Also,NETGEAR M4250-40G8XF-POE++ Managed Switch,netgear,4620.37,2
AC774047,Siewert & Kau,Dell 1RX16 - DDR5 - module - 8 GB - SO-DIMM 262-pin - 5600 MHz - unbuffered,dell,57.62,1
RP000121525,EET,"HDD 300-GB, SAS, SFF, 10K Rpm,",hewlett packard enterprise,17.4,16
F2CU012BT3M-BLK,Difox,Belkin  MIXIT USB-A / Micro-USB 3m noir F2CU012bt3M-BLK,belkin,11.08,7
UJ335E,macle,EPACK 5YR OS NBD+DMR (NB ONLY),hp inc.,359.0,50
HC4Q6E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 5 années - expédition - 24x7 - temps de réponse : 4 h - volume, Tier 2 - pour P/N: Q9H59A, Q9H60A, Q9H61A, Q9H61AR, Q9H62A, Q9H62AR, Q9H63A, Q9H63AR, R2J82A",hewlett packard enterprise,262.0,9876
"4,25154E+12",Kosatec,RAMNDDR4 SO 2666 8GB Innovation IT CL19-19-19 1.2V,innovation it,13.16,100
NSLS300BLACK,Tarox,Neomounts Laptop-Ständer NSLS300 - Schwarz,neomounts,0.0,16
H2AM0E,macle,EPACK 3YR FC 4H 2930F48G4SFP,hewlett packard enterprise,2295.0,50
STSHX-M101TCBM,ecp,Integration/6- Stockage/3- DISQUE EXTERNE/Disque HDD 2.5p,seagate,38.49,1
WE009OPPOA57S,MGF,***WE Verre trempé OPPO A57 4G / A57 5G / A57S,we,4.0,168
051039              ,Ingram,ACTIV PACK CASE FOR HP ELITE X2,mobilis             ,66.36,1
CMH32GX5M2B6000C40W,ecp,Integration/5- Mémoire/DIMM DDR4/2- Gamer,corsair,122.59,1
PKCG9,EET,Memory Module 8GB PC3L-12800R,dell,13.5,20
AB371021,techdata,"Dell - DDR4 - module - 8 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - 1.2 V - mémoire sans tampon - non ECC - Mise à niveau - pour G5, OptiPlex 7090, XE3, Precision 3430, 3431, 3630, 3930, Vostro 3671, 3710, XPS 8940",dell,61.0,28
HL546E,techdata,"Electronic HP Care Pack Premium Care Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : jour suivant - pour Elite x360, EliteBook 83X G10, 845 G10, 865 G10, EliteBook x360, ProBook 44X G10,",hp,139.0,9876
H04A2E,techdata,"HPE Pointnext Tech Care Essential Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: P9S29A, QU625A, QU625AR, QU625SB",hewlett packard enterprise,11608.0,9876
2P-916366-541,psaparts,0, ,2.0,28
UVC-G4-DOME,terra computer,Ubiquiti Camera G4 Dome 4MP UVC-G4-DOME Compact 4MP vandal-resist. (IK08)/weatherpr. IPx4,ubiquiti networks,155.9,50
4WHD2ZD/A-AS,flexit,"iPhone 11 Pro Max 64GB 6.46"" Space Gray No Accessories",apple,329.0,1
2P-L02854-H72,psaparts,4,03/01/24,2.0,9
VEL-OW64868,Secomp,VELCRO One Wrap 25x300mm 750p. bleu VEL-OW64868,velcro,215.21,1
FSP:GA5220200DEST4,macle,SP5Y OS/9X5/NBD RT/1XSHC/TAM R,fujitsu,5916.0,50
W1A77A,terra computer,HP Color LaserJet Pro MFP M479 dw (3in1)  27ppm.,hewlett packard,514.0,13
75G2878,macle,IBM MEDIA CAGE AND BACKPLANE ASSM,ibm,45.0,1
CF531A              ,Ingram,HP 205A ORIGINAL CYAN LASERJET ,hp inc.             ,48.14,17
980-000814,Kosatec,Logitech Z150 black,logitech,24.38,74
U7925E,Also,HP E-CAREPACK 5ANS MAINTENANCE SITE LE LENDEMAIN POUR PC SEUL,hp inc.,71.68,100
MZ-V9E2T0BW,PCA,SSD SAMSUNG SERIE 990 EVO M.2 2To 2280 PCIe 4.0 x4 / 5.0 x2 NVMe 2.0 MZ-V9E2T0BW,samsung,175.02,95
DG7GMGF0D5RK-0002-1J1M,terra computer,CSP Windows Server 2022 Standard 8 Core Lic 1J1M [PS],microsoft,19.64,100
HK4U0E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers - pour P/N: JL357A#AC3, JL357A#AC4, JL357A#ACC, JL3",hewlett packard enterprise,541.0,9876
90YV0CT7-M0NA00,Acadia,ASUS TUF GTX1660TI O6G EVO GAMING,asus,330.0,100
1T02RMBNL1,convena,Kyocera Magenta Toner Cartr. TK-8525M,kyocera,127.73,10
26K5288,macle,"IBM 36,4GB 10K U3 SCSI DDA",ibm,73.0,2
U2HB4E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: 681844-B21#B19, BV976AR, BX402AR",hewlett packard enterprise,2827.0,9876
21CF004PGE,macle,LENOVO THINKPAD T14 GEN3 R7PRP-6850U,lenovo,1875.0,50
106R04080,West Cost,XEROX TONER J,xerox supplies,291.0,31
THINCLIENT-20,Also,NEOMOUNTS Thin Client Holder assembly on VESA75/100,neomounts by newstar,26.59,29
H53Y7E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement anticipé des pièces - 5 années - expédition - 24x7 - temps de réponse : NBD - volume, Tier 2 - pour P/N: R8N86A",hewlett packard enterprise,318.0,9876
TAPRALMSTINT/2,techdata,"Logitech Room Solutions with Intel NUC for Microsoft Teams include everything you need to build out conference rooms with one or two displays. The 'Medium' bundle comes pre-configured with a Microsoft-approved i5 11th Gen mini PC, Windows 10 IOT Enterpris",logitech,4499.0,6
H9TT7E,techdata,HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - temps de réponse : 4 h - pour P/N: JZ508A,hewlett packard enterprise,2550.0,9876
CP05OSSWH979,Also,EPSON 5 years service CoverPlus on site for EH-TW7xx,epson,206.73,100
T6FVY,EET,"KYBD,100,UK,M20IXU-B",dell,33.0,4
NX.VLLEF.003,Octant,ACER Portable TMP215-52-778D i7,acenxvllef003,688.89,12
26599-899-999,Copaco,Jabra Evolve2 65 MS Mono Black,jabra,126.88,3
CW-9060069-WW,Copaco,iCUE H115i ELITE CAPELLIX XT 280mm Radiator Liquid CPU Cooler,corsair,136.95,6
47212,convena,Lindy CROMO S/FTP PatchCord Cat6. CU. Anthracite..,lindy,3.22,45
HMP50.000WH,Difox,Kenwood HMP50.000WH Quick Mix+,kenwood,39.17,1
90-MXBF00-A0UAYZ,PICATA,Z590 Phantom Gaming 4 - Z590/LGA1200/ATX,asrock,133.65,1
APTHP532AE,EET,Toner Yellow,agfaphoto,31.0,1
2P-HRDGJ,psaparts,0, ,2.0,39
VFY:G612EPC30MIN,macle,FUJITSU ESPRIMO G6012 TOWER INTEL CORE,fujitsu,636.0,50
H4DU1E,macle,EPACK 5YR PC NBD EXCH IAP 325,hewlett packard enterprise,440.0,50
N9K78AA,MCA,HP - Adaptateur vidéo externe - USB-C - DisplayPort,hewlett packard,15.0,1
HP2A1E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 24x7 - temps de réponse : 4 h - universitaire, pour les particuliers - pour P/N: J9775A#ABH, J9775A#B2B, J9775AR#B8X, J9781A#ABH, J9781A#B",hewlett packard enterprise,522.0,9876
HB3P3E,techdata,"HPE Proactive Care Call-To-Repair Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: JL587A, JL587AR",hewlett packard enterprise,4845.0,9876
652K0025,macle,GRAFENTHAL MEM 64GB 2Rx4 DDR4-2933MHz,grafenthal,575.0,10
00A4730,macle,EPAC 2Y MSU ONSITE 5X9 4H,lenovo,2427.0,50
CM8068403377319,Kosatec,"Intel S1151 CORE i3 9100 TRAY 4x3,6 65W GEN9",intel,98.84,87
910-005870,convena,Logitech ERGO M575 Wireless Trackball Mouse - Wh..,logitech,32.89,15
CFQ7TTC0QW7C:0006:COM:P1Y:M:DE,Tarox,Microsoft Teams Rooms Pro without Audio Conferenci,microsoft csp,0.0,50
